Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20231001,13975,S08000030,S37000033,All,3699,154,449,412,1147,940,326,194,77,1,1820,1879
20231001,14037,S08000030,S37000033,Male,7839,328,814,1051,1824,2027,944,638,213,0,,
20231001,14037,S08000030,S37000033,Female,8327,273,850,1000,1811,2218,1073,739,363,0,,
20231001,14037,S08000030,S37000033,All,16166,601,1664,2051,3635,4245,2017,1377,576,1,8327,7839
20231001,14249,S08000030,S37000033,Male,3694,168,416,398,1096,988,393,189,46,0,,
20231001,14249,S08000030,S37000033,Female,3593,160,408,360,1092,896,363,230,84,0,,
20231001,14249,S08000030,S37000033,All,7287,328,824,758,2188,1884,756,419,130,1,3593,3694
20231001,14291,S08000030,S37000033,Male,4790,167,483,506,1456,1301,502,282,93,0,,
20231001,14291,S08000030,S37000033,Female,4646,192,466,423,1250,1265,491,389,170,0,,
20231001,14291,S08000030,S37000033,All,9436,359,949,929,2706,2566,993,671,263,1,4646,4790
20231001,14342,S08000030,S37000033,Male,3388,145,392,379,1029,868,302,211,62,0,,
20231001,14342,S08000030,S37000033,Female,3372,149,382,311,947,864,350,271,98,0,,
20231001,14342,S08000030,S37000033,All,6760,294,774,690,1976,1732,652,482,160,1,3372,3388
20231001,14501,S08000030,S37000033,Male,2448,81,204,175,574,726,351,242,95,0,,
20231001,14501,S08000030,S37000033,Female,2480,62,165,173,542,732,396,269,141,0,,
20231001,14501,S08000030,S37000033,All,4928,143,369,348,1116,1458,747,511,236,1,2480,2448
20231001,14569,S08000030,S37000033,Male,2173,114,231,233,507,623,256,161,48,0,,
20231001,14569,S08000030,S37000033,Female,2153,84,194,206,499,673,246,185,66,0,,
20231001,14569,S08000030,S37000033,All,4326,198,425,439,1006,1296,502,346,114,1,2153,2173
20231001,16013,S08000016,S37000025,Male,1889,73,184,185,476,567,244,129,31,0,,
20231001,16013,S08000016,S37000025,Female,1774,58,161,169,445,532,210,146,53,0,,
20231001,16013,S08000016,S37000025,All,3663,131,345,354,921,1099,454,275,84,1,1774,1889
20231001,16032,S08000016,S37000025,Male,3410,136,337,330,745,987,473,320,82,0,,
20231001,16032,S08000016,S37000025,Female,3520,137,351,282,714,1062,496,345,133,0,,
20231001,16032,S08000016,S37000025,All,6930,273,688,612,1459,2049,969,665,215,1,3520,3410
20231001,16047,S08000016,S37000025,Male,845,25,64,78,128,278,141,103,28,0,,
20231001,16047,S08000016,S37000025,Female,800,17,57,68,121,257,140,104,36,0,,
20231001,16047,S08000016,S37000025,All,1645,42,121,146,249,535,281,207,64,1,800,845
20231001,16051,S08000016,S37000025,Male,3474,140,388,378,676,1012,462,319,99,0,,
20231001,16051,S08000016,S37000025,Female,3553,106,346,306,711,1068,507,380,129,0,,
20231001,16051,S08000016,S37000025,All,7027,246,734,684,1387,2080,969,699,228,1,3553,3474
20231001,16066,S08000016,S37000025,Male,3192,106,328,325,657,933,482,286,75,0,,
20231001,16066,S08000016,S37000025,Female,3210,124,358,278,650,933,472,305,90,0,,
20231001,16066,S08000016,S37000025,All,6402,230,686,603,1307,1866,954,591,165,1,3210,3192
20231001,16085,S08000016,S37000025,Male,3627,131,325,375,792,1029,499,378,98,0,,
20231001,16085,S08000016,S37000025,Female,3713,98,330,305,759,1085,576,405,155,0,,
20231001,16085,S08000016,S37000025,All,7340,229,655,680,1551,2114,1075,783,253,1,3713,3627
20231001,16121,S08000016,S37000025,Male,2376,84,256,260,505,724,289,205,53,0,,
20231001,16121,S08000016,S37000025,Female,2383,94,218,227,483,736,318,217,90,0,,
20231001,16121,S08000016,S37000025,All,4759,178,474,487,988,1460,607,422,143,1,2383,2376
20231001,16136,S08000016,S37000025,Male,5810,211,556,530,1147,1609,900,661,196,0,,
20231001,16136,S08000016,S37000025,Female,6184,143,512,564,1163,1815,958,717,312,0,,
20231001,16136,S08000016,S37000025,All,11994,354,1068,1094,2310,3424,1858,1378,508,1,6184,5810
20231001,16141,S08000016,S37000025,Male,2993,111,294,284,694,866,390,258,96,0,,
20231001,16141,S08000016,S37000025,Female,3056,97,288,260,622,913,408,343,125,0,,
20231001,16141,S08000016,S37000025,All,6049,208,582,544,1316,1779,798,601,221,1,3056,2993
20231001,16160,S08000016,S37000025,Male,2955,88,346,364,605,892,357,235,68,0,,
20231001,16160,S08000016,S37000025,Female,3066,93,331,300,643,916,378,278,127,0,,
20231001,16160,S08000016,S37000025,All,6021,181,677,664,1248,1808,735,513,195,1,3066,2955
20231001,16174,S08000016,S37000025,Male,1903,84,209,202,408,596,223,145,36,0,,
20231001,16174,S08000016,S37000025,Female,2022,73,232,206,437,612,248,153,61,0,,
20231001,16174,S08000016,S37000025,All,3925,157,441,408,845,1208,471,298,97,1,2022,1903
20231001,16206,S08000016,S37000025,Male,1899,60,128,158,351,556,332,241,73,0,,
20231001,16206,S08000016,S37000025,Female,2007,62,118,136,333,607,356,286,109,0,,
20231001,16206,S08000016,S37000025,All,3906,122,246,294,684,1163,688,527,182,1,2007,1899
20231001,16211,S08000016,S37000025,Male,2979,121,320,289,670,882,372,249,76,0,,
20231001,16211,S08000016,S37000025,Female,3034,118,301,258,627,884,415,294,137,0,,
20231001,16211,S08000016,S37000025,All,6013,239,621,547,1297,1766,787,543,213,1,3034,2979
20231001,16230,S08000016,S37000025,Male,2421,120,282,252,630,649,282,163,43,0,,
20231001,16230,S08000016,S37000025,Female,2517,99,260,248,676,654,308,207,65,0,,
20231001,16230,S08000016,S37000025,All,4938,219,542,500,1306,1303,590,370,108,1,2517,2421
20231001,16259,S08000016,S37000025,Male,2456,102,237,256,677,676,300,155,53,0,,
20231001,16259,S08000016,S37000025,Female,2691,108,259,317,722,689,307,202,87,0,,
20231001,16259,S08000016,S37000025,All,5147,210,496,573,1399,1365,607,357,140,1,2691,2456
20231001,16282,S08000016,S37000025,Male,1625,59,165,153,358,508,204,140,38,0,,
20231001,16282,S08000016,S37000025,Female,1536,48,132,141,318,489,212,152,44,0,,
20231001,16282,S08000016,S37000025,All,3161,107,297,294,676,997,416,292,82,1,1536,1625
