Date,PracticeCode,HB,HSCP,Sex,AllAges,Ages0to4,Ages5to14,Ages15to24,Ages25to44,Ages45to64,Ages65to74,Ages75to84,Ages85plus,Sex_Type,Total_Female,Total_Male
20220401,14249,S08000030,S37000033,All,6999,320,794,740,2018,1859,761,373,134,1,3444,3555
20220401,14291,S08000030,S37000033,Male,4741,177,496,507,1363,1334,502,273,89,,,
20220401,14291,S08000030,S37000033,Female,4636,204,452,438,1194,1302,526,365,155,,,
20220401,14291,S08000030,S37000033,All,9377,381,948,945,2557,2636,1028,638,244,1,4636,4741
20220401,14342,S08000030,S37000033,Male,3202,151,362,376,917,832,307,197,60,,,
20220401,14342,S08000030,S37000033,Female,3187,138,341,331,840,833,354,254,96,,,
20220401,14342,S08000030,S37000033,All,6389,289,703,707,1757,1665,661,451,156,1,3187,3202
20220401,14501,S08000030,S37000033,Male,2448,89,192,178,578,722,364,228,97,,,
20220401,14501,S08000030,S37000033,Female,2467,69,170,174,530,722,395,278,129,,,
20220401,14501,S08000030,S37000033,All,4915,158,362,352,1108,1444,759,506,226,1,2467,2448
20220401,14569,S08000030,S37000033,Male,2132,106,233,224,493,620,252,162,42,,,
20220401,14569,S08000030,S37000033,Female,2118,91,173,198,485,670,256,173,72,,,
20220401,14569,S08000030,S37000033,All,4250,197,406,422,978,1290,508,335,114,1,2118,2132
20220401,16013,S08000016,S37000025,Male,1862,71,186,188,453,592,226,117,29,,,
20220401,16013,S08000016,S37000025,Female,1755,62,151,174,429,525,214,141,59,,,
20220401,16013,S08000016,S37000025,All,3617,133,337,362,882,1117,440,258,88,1,1755,1862
20220401,16032,S08000016,S37000025,Male,3423,150,330,338,736,996,484,306,83,,,
20220401,16032,S08000016,S37000025,Female,3505,160,332,300,700,1086,484,315,128,,,
20220401,16032,S08000016,S37000025,All,6928,310,662,638,1436,2082,968,621,211,1,3505,3423
20220401,16047,S08000016,S37000025,Male,806,21,63,72,127,264,137,94,28,,,
20220401,16047,S08000016,S37000025,Female,773,13,61,64,121,257,126,93,38,,,
20220401,16047,S08000016,S37000025,All,1579,34,124,136,248,521,263,187,66,1,773,806
20220401,16051,S08000016,S37000025,Male,3459,157,367,370,676,1005,471,315,98,,,
20220401,16051,S08000016,S37000025,Female,3504,119,334,292,686,1065,514,373,121,,,
20220401,16051,S08000016,S37000025,All,6963,276,701,662,1362,2070,985,688,219,1,3504,3459
20220401,16066,S08000016,S37000025,Male,3340,130,347,332,715,977,490,268,81,,,
20220401,16066,S08000016,S37000025,Female,3329,147,366,289,703,976,462,301,85,,,
20220401,16066,S08000016,S37000025,All,6669,277,713,621,1418,1953,952,569,166,1,3329,3340
20220401,16085,S08000016,S37000025,Male,3642,127,355,399,767,1027,525,351,91,,,
20220401,16085,S08000016,S37000025,Female,3723,109,353,314,730,1104,569,393,151,,,
20220401,16085,S08000016,S37000025,All,7365,236,708,713,1497,2131,1094,744,242,1,3723,3642
20220401,16121,S08000016,S37000025,Male,2348,88,262,248,492,715,299,194,50,,,
20220401,16121,S08000016,S37000025,Female,2395,95,228,206,497,749,330,205,85,,,
20220401,16121,S08000016,S37000025,All,4743,183,490,454,989,1464,629,399,135,1,2395,2348
20220401,16136,S08000016,S37000025,Male,5728,200,542,514,1127,1639,915,607,184,,,
20220401,16136,S08000016,S37000025,Female,6124,167,508,528,1132,1856,945,699,289,,,
20220401,16136,S08000016,S37000025,All,11852,367,1050,1042,2259,3495,1860,1306,473,1,6124,5728
20220401,16141,S08000016,S37000025,Male,2989,132,291,268,675,892,386,257,88,,,
20220401,16141,S08000016,S37000025,Female,3091,101,287,289,603,947,415,322,127,,,
20220401,16141,S08000016,S37000025,All,6080,233,578,557,1278,1839,801,579,215,1,3091,2989
20220401,16160,S08000016,S37000025,Male,2901,103,346,356,601,881,340,200,74,,,
20220401,16160,S08000016,S37000025,Female,3021,101,350,283,614,931,353,262,127,,,
20220401,16160,S08000016,S37000025,All,5922,204,696,639,1215,1812,693,462,201,1,3021,2901
20220401,16174,S08000016,S37000025,Male,1910,86,211,210,406,612,223,135,27,,,
20220401,16174,S08000016,S37000025,Female,2043,81,240,226,427,639,227,138,65,,,
20220401,16174,S08000016,S37000025,All,3953,167,451,436,833,1251,450,273,92,1,2043,1910
20220401,16193,S08000016,S37000025,Male,1512,56,171,136,456,425,168,82,18,,,
20220401,16193,S08000016,S37000025,Female,1476,48,171,145,380,403,184,99,46,,,
20220401,16193,S08000016,S37000025,All,2988,104,342,281,836,828,352,181,64,1,1476,1512
20220401,16206,S08000016,S37000025,Male,1888,56,162,144,329,564,335,233,65,,,
20220401,16206,S08000016,S37000025,Female,1977,57,134,142,308,622,353,254,107,,,
20220401,16206,S08000016,S37000025,All,3865,113,296,286,637,1186,688,487,172,1,1977,1888
20220401,16211,S08000016,S37000025,Male,2961,128,308,278,680,878,395,218,76,,,
20220401,16211,S08000016,S37000025,Female,3043,117,309,263,629,892,422,277,134,,,
20220401,16211,S08000016,S37000025,All,6004,245,617,541,1309,1770,817,495,210,1,3043,2961
20220401,16230,S08000016,S37000025,Male,2416,133,268,246,627,645,307,149,41,,,
20220401,16230,S08000016,S37000025,Female,2511,103,257,257,655,677,312,185,65,,,
20220401,16230,S08000016,S37000025,All,4927,236,525,503,1282,1322,619,334,106,1,2511,2416
20220401,16244,S08000016,S37000025,Male,982,44,109,146,251,279,99,41,13,,,
20220401,16244,S08000016,S37000025,Female,1009,46,111,151,259,274,103,48,17,,,
20220401,16244,S08000016,S37000025,All,1991,90,220,297,510,553,202,89,30,1,1009,982
20220401,16259,S08000016,S37000025,Male,2429,111,231,261,662,686,288,144,46,,,
20220401,16259,S08000016,S37000025,Female,2577,103,251,294,677,694,304,170,84,,,
20220401,16259,S08000016,S37000025,All,5006,214,482,555,1339,1380,592,314,130,1,2577,2429
20220401,16282,S08000016,S37000025,Male,1599,68,156,156,347,495,212,131,34,,,
20220401,16282,S08000016,S37000025,Female,1575,61,121,151,314,513,220,141,54,,,
20220401,16282,S08000016,S37000025,All,3174,129,277,307,661,1008,432,272,88,1,1575,1599
20220401,16475,S08000016,S37000025,Male,703,31,69,71,147,218,99,53,15,,,
20220401,16475,S08000016,S37000025,Female,699,24,65,74,145,224,92,55,20,,,
20220401,16475,S08000016,S37000025,All,1402,55,134,145,292,442,191,108,35,1,699,703
20220401,16507,S08000016,S37000025,Male,3211,133,365,296,706,899,491,259,62,,,
20220401,16507,S08000016,S37000025,Female,3359,121,381,317,703,926,486,314,111,,,
20220401,16507,S08000016,S37000025,All,6570,254,746,613,1409,1825,977,573,173,1,3359,3211
20220401,16545,S08000016,S37000025,Male,5642,242,527,542,1279,1699,770,451,132,,,
20220401,16545,S08000016,S37000025,Female,5646,210,576,546,1243,1621,714,504,232,,,
20220401,16545,S08000016,S37000025,All,11288,452,1103,1088,2522,3320,1484,955,364,1,5646,5642
20220401,16550,S08000016,S37000025,Male,2372,114,302,268,458,754,294,147,35,,,
