gp_number,q1_positive,q2_positive,q3_positive
63921,14.57,58.08,14.07
77286,40.47,71.13,53.33
85230,56.63,89.09,56.75
55747,92.88,91.26,92.45
18095,55.08,82.15,63.23
55643,86.85,98.56,86.12
55395,99.29,98.29,99.18
12831,72.47,90.05,74.97
46471,60.34,92.38,63.18
21469,50.41,91.27,54.13
84415,62.3,96.13,67.56
18057,58.88,87.04,59.42
18377,60.75,92.07,58.55
18593,58.09,86.56,57.93
18288,73.63,98.12,76.37
86360,55.65,80.29,48.56
18358,28.19,85.13,35.76
62933,48.01,66,47.18
84581,73,88.73,70.76
13284,74.2,89.97,75.36
87292,67.37,82.97,70.54
31437,46.32,77.2,51.15
63546,53.8,76.89,58.31
70381,80.12,76.64,81.8
46184,74.39,67.01,73.83
56030,78.37,89.02,82.57
63890,54.6,76.33,54.99
70766,85.92,92.26,87.4
21454,70.47,83.92,63.38
80378,61.1,89.48,59.62
11931,51.99,82.51,45.23
32779,57.56,76.43,56.28
43311,72.4,69.18,72.88
13975,79.64,78.39,74.23
63231,66.23,92.28,64.21
80491,77.99,91.14,80.37
46216,53.19,91.87,50.95
46625,63.15,83.17,60.74
70451,68.89,75.58,62.11
21384,53.61,85.74,53.25
49337,76.39,95.86,79.2
63917,57.13,78.6,55.94
25281,46.42,77.21,43.62
49248,66.84,93.58,74.39
16066,43.71,84.17,42.87
21505,52.02,70.85,45.09
52005,81.78,88.1,79.68
71364,76.7,92.06,78.19
11645,73.79,96.42,76.55
20485,57.54,76.28,53.41
85141,73.88,93.13,71.63
70427,76.44,97.65,76.61
31649,20.51,52.65,22.93
87432,65.28,69.15,63.76
13571,73,97.34,69.86
32764,65.1,95.92,64.77
63527,56.84,71.23,46.34
70790,67.83,89.13,62.94
62011,62.36,82.67,64.13
49681,79.66,86.72,72.3
86181,39.76,84.97,45.89
20108,54.04,92.78,63.8
10002,92.4,93.22,87.66
70662,61.45,84.15,61.88
84538,77.44,94.61,84.08
18112,69.78,96.8,78.29
55408,76.76,84.17,74.38
78344,86.47,87.76,86.97
71025,95.73,96.97,92.66
70501,67.66,85.27,63.61
55041,75.05,91.61,69.99
60073,63.21,69.11,61.1
87023,77.59,91.47,77.24
12281,70.8,86.08,66.8
20451,55.7,81.55,56.94
30280,47.47,80.16,46.45
20466,57.52,81.04,56.03
86321,44.87,87.86,44.92
62115,84.24,92.82,74.79
77106,59.32,93.57,57.65
21558,75.47,89.68,74.56
30078,45.6,87.98,50.04
77159,56.42,86.95,51.19
16047,89.28,99.02,90.97
46451,67.88,92.81,62.97
78077,73.48,86.06,69.53
20950,82.85,84.88,69.34
70198,59.67,79.35,71.25
49144,77.51,87.81,78.41
60143,44.69,61.43,42.8
76137,69.4,85.55,57.2
20611,70.6,83.5,73.31
90098,87.02,99.13,93.39
90115,94.68,98.34,94.28
40140,81.59,76.13,80.36
63442,41.43,86.59,50.18
85403,57.62,79.13,56.7
21613,61.28,80.42,67.5
46221,55.45,81.27,53.63
25027,57.8,80.84,59.87
25671,57.81,73.52,47.92
16141,58.27,74.71,54.57
40065,66.42,75.29,57.99
63828,46.14,84.58,46.12
30504,50.55,65.7,49.11
38239,94.4,97.48,91.08
